"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"GND (mm)";"24V (mm)";"B.Cu (mm)";
002;"/M2";3;1;1.5450;20.0077;0.0000;21.5527;11.6474;0.0000;0.0000;8.3603;
003;"/M1";3;0;0.0000;14.8706;0.0000;14.8706;0.0000;0.0000;0.0000;14.8706;
004;"/3_3";6;1;1.5450;112.3838;0.0000;113.9288;43.1061;0.0000;0.0000;69.2777;
005;"Net-(A1-B1)";2;0;0.0000;30.5111;0.0000;30.5111;0.0000;0.0000;0.0000;30.5111;
006;"/EN";3;0;0.0000;19.3708;0.0000;19.3708;0.5091;0.0000;0.0000;18.8616;
007;"Net-(A1-A1)";2;0;0.0000;30.4945;0.0000;30.4945;0.0000;0.0000;0.0000;30.4945;
009;"/M0";3;0;0.0000;20.6795;0.0000;20.6795;0.3274;0.0000;0.0000;20.3522;
010;"/STP";3;0;0.0000;44.2562;0.0000;44.2562;44.2562;0.0000;0.0000;0.0000;
011;"Net-(A1-A2)";2;0;0.0000;30.4779;0.0000;30.4779;0.0000;0.0000;0.0000;30.4779;
012;"/DIR";3;0;0.0000;44.4702;0.0000;44.4702;44.4702;0.0000;0.0000;0.0000;
013;"Net-(A1-B2)";2;0;0.0000;30.5276;0.0000;30.5276;0.0000;0.0000;0.0000;30.5276;
014;"/24V";6;2;2.8200;8.1178;0.0000;10.9378;8.1178;0.0000;0.0000;0.0000;
015;"GND";19;4;0.5400;22.0120;0.0000;22.5520;22.0120;0.0000;0.0000;0.0000;
016;"PWR_FLAG";0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
017;"/SDA";5;2;3.0900;103.2068;0.0000;106.2968;35.4067;0.0000;0.0000;67.8002;
018;"/B_A";4;0;0.0000;86.4872;0.0000;86.4872;0.2143;0.0000;0.0000;86.2729;
019;"/SCL";5;0;0.0000;100.5128;0.0000;100.5128;100.5128;0.0000;0.0000;0.0000;
020;"/B_B";4;1;1.5450;84.7295;0.0000;86.2745;13.7861;0.0000;0.0000;70.9434;
060;"/SLP";3;1;1.5450;32.7077;0.0000;34.2527;13.9435;0.0000;0.0000;18.7642;
103;"Net-(A1-GND-Pad7)";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
104;"/5V";4;0;0.0000;21.2409;0.0000;21.2409;21.2409;0.0000;0.0000;0.0000;
